"","dates","road","back","ratio"
"85","no2_9_5_day",0.0497121640346089,0.0256715219112872,1.94
"86","no2_9_5_night",0.0368567642203379,0.0243581594138818,1.51
"87","no2_9_6_day",0.0443228143967168,0.0233724725085455,1.9
"88","no2_9_6_night",0.0384957494930742,0.0260958145907542,1.48
"89","no2_9_7_day",0.0461783642047627,0.0202222222222222,2.28
"90","no2_9_7_night",0.0421224640870019,0.0283152777777778,1.49
"91","no2_9_8_day",0.0442878787878788,0.0192736111111111,2.3
"92","no2_9_8_night",0.0386287878787879,0.0263013888888889,1.47
"93","no2_9_9_day",0.0633710474231614,0.0328478199984681,1.93
"94","no2_9_9_night",0.045030303030303,0.0321180142268795,1.4
"95","no2_9_10_day",0.0686007738318739,0.0434158630768018,1.58
"96","no2_9_10_night",0.0503919268597231,0.0365350170553622,1.38
"97","no2_9_11_day",0.0566810132209972,0.0364109840064665,1.56
"98","no2_9_11_night",0.042006224744619,0.029017304119491,1.45
"99","no2_9_12_day",0.0579856955004949,0.0362374665154261,1.6
"100","no2_9_12_night",0.0467255814803194,0.0356950490895161,1.31
"101","no2_9_13_day",0.0492334616402882,0.0306661518305048,1.61
"102","no2_9_13_night",0.0419825585983814,0.0285227999559496,1.47
"103","no2_9_14_day",0.0479332400297793,0.0261319444444444,1.83
"104","no2_9_14_night",0.0412800046107242,0.0280013888888889,1.47
"105","no2_9_15_day",0.0379356060606061,0.0171223545700495,2.22
"106","no2_9_15_night",0.0382878787878788,0.0258124711516655,1.48
"107","no2_9_16_day",0.0519469268971569,0.0274903424464034,1.89
"108","no2_9_16_night",0.0429213298704378,0.0306732083322847,1.4
"109","no2_9_17_day",0.0658919160861115,0.0382768049590206,1.72
"110","no2_9_17_night",0.0598217615380147,0.0471632805026698,1.27
"111","no2_9_18_day",0.0468333333333333,0.0232178112815575,2.02
"112","no2_9_18_night",0.0555037878787879,0.0431551284243258,1.29
"113","no2_9_19_day",0.0406431118994562,0.0160041666666667,2.54
"114","no2_9_19_night",0.0335269362134701,0.0207086630070585,1.62
"115","no2_9_20_day",0.035986600645647,0.0167294222687918,2.15
"116","no2_9_20_night",0.0376942423966305,0.0248791666666667,1.52
"117","no2_9_21_day",0.0376765556883269,0.0176310619504654,2.14
"118","no2_9_21_night",0.0334540361650403,0.0228370364583491,1.46
"119","no2_9_22_day",0.0277323426767768,0.0114310550439742,2.43
"120","no2_9_22_night",0.024147814585633,0.0120278258601473,2.01
"121","no2_9_23_day",0.0512053690271078,0.0247137301750773,2.07
"122","no2_9_23_night",0.0373386412257622,0.0245180555555556,1.52
"123","no2_9_24_day",0.0476798157872408,0.0299186590641569,1.59
"124","no2_9_24_night",0.0458054038516026,0.0340585591666576,1.34
"125","no2_9_25_day",0.0380603229901434,0.0165139000948819,2.3
"126","no2_9_25_night",0.0281276496585074,0.0163749444380435,1.72
"127","no2_9_26_day",0.0468377076282444,0.0230428447067883,2.03
"128","no2_9_26_night",0.0404274801533362,0.0284804103525975,1.42
"129","no2_9_27_day",0.0592209098041399,0.0351247453753516,1.69
"130","no2_9_27_night",0.0558539023667856,0.0434722717813546,1.28
"131","no2_9_28_day",0.062505220784397,0.0446138888888889,1.4
"132","no2_9_28_night",0.0554327672802829,0.0433631533025747,1.28
"133","no2_9_29_day",0.0398828462379298,0.0245156536583625,1.63
"134","no2_9_29_night",0.0297159090909091,0.0191729658628038,1.55
"135","no2_9_30_day",0.045739308270363,0.0244973269355913,1.87
"136","no2_9_30_night",0.0328181818181818,0.0209499886434751,1.57
"137","no2_10_1_night",0.0441818181818182,0.0260725927941425,1.69
