"","dates","road","back","ratio"
"1","no2_7_25_day",0.0567754605650113,0.0231068419093175,2.46
"2","no2_7_25_night",0.0387300264055628,0.0204090909090909,1.9
"3","no2_7_26_day",0.0584507851197299,0.0265100262180066,2.2
"4","no2_7_26_night",0.0414290267891719,0.02275,1.82
"5","no2_7_27_day",0.0579548556833842,0.0296762034975693,1.95
"6","no2_7_27_night",0.0446820250537778,0.031596123673141,1.41
"7","no2_7_28_day",0.0391386822112126,0.0229191044095832,1.71
"8","no2_7_28_night",0.0404419045828401,0.0290166666666667,1.39
"9","no2_7_29_day",0.0526516929296953,0.024511031612902,2.15
"10","no2_7_29_night",0.0343267338479153,0.018,1.91
"11","no2_7_30_day",0.0553503002820416,0.0275849899375818,2.01
"12","no2_7_30_night",0.038674034213469,0.0236492867195824,1.64
"13","no2_7_31_day",0.0515356526506875,0.0204418810312408,2.52
"14","no2_7_31_night",0.0355990472296334,0.0204136075773218,1.74
"15","no2_8_1_day",0.056784150162145,0.0224568769400547,2.53
"16","no2_8_1_night",0.042647645068306,0.0262319444444444,1.63
"17","no2_8_2_day",0.0499709114341355,0.0282151919149454,1.77
"18","no2_8_2_night",0.0466372358547214,0.0332738939070894,1.4
"19","no2_8_3_day",0.0307317198467931,0.0139083333333333,2.21
"20","no2_8_3_night",0.0285544397822572,0.0182027777777778,1.57
"21","no2_8_4_day",0.0349493457928489,0.0139791666666667,2.5
"22","no2_8_4_night",0.0267720962707207,0.0154180555555556,1.74
"23","no2_8_5_day",0.0458607514017186,0.0219358272409114,2.09
"24","no2_8_5_night",0.0322003289464411,0.0177404839215336,1.82
"25","no2_8_6_day",0.0545977646072954,0.0319026543675609,1.71
"26","no2_8_6_night",0.037097718081593,0.0244427307248349,1.52
"27","no2_8_7_day",0.0584499697287088,0.0271425701957279,2.15
"28","no2_8_7_night",0.045818299658657,0.0313145038507932,1.46
"29","no2_8_8_day",0.0561621851760055,0.0253368813869479,2.22
"30","no2_8_8_night",0.0368106060606061,0.021255010897119,1.73
"31","no2_8_9_day",0.0587154663599842,0.0272774532978382,2.15
"32","no2_8_9_night",0.0382658836549153,0.0197493555994743,1.94
"33","no2_8_10_day",0.061707904550141,0.0310453028012349,1.99
"34","no2_8_10_night",0.0426369902328867,0.02360097512353,1.81
"35","no2_8_11_day",0.0481590909090909,0.0189151556672052,2.55
"36","no2_8_11_night",0.0390871212121212,0.0272132335094683,1.44
"37","no2_8_12_day",0.0496287878787879,0.0219702285369604,2.26
"38","no2_8_12_night",0.0324810606060606,0.0213960195688955,1.52
"39","no2_8_13_day",0.0415452788780574,0.0181345653387532,2.29
"40","no2_8_13_night",0.0285227272727273,0.0203026186387037,1.4
"41","no2_8_14_day",0.0425033798357577,0.0193326249312967,2.2
"42","no2_8_14_night",0.0303057434410364,0.0212262125918639,1.43
"43","no2_8_15_day",0.0296965802937567,0.0145728039294611,2.04
"44","no2_8_15_night",0.0286397228876229,0.0206747303726554,1.39
"45","no2_8_16_day",0.0365835388668433,0.0173547835004645,2.11
"46","no2_8_16_night",0.0259069427848138,0.018120358512235,1.43
"47","no2_8_17_day",0.0298297975372147,0.0141417249237951,2.11
"48","no2_8_17_night",0.024435917243118,0.0165029811735045,1.48
"49","no2_8_18_day",0.0243825757575758,0.0120492441310973,2.02
"50","no2_8_18_night",0.0209583333333333,0.0137163053781577,1.53
"51","no2_8_19_day",0.0491428310864101,0.0236676916640474,2.08
"52","no2_8_19_night",0.0316856060606061,0.0214023123241931,1.48
"53","no2_8_20_day",0.0660692011264574,0.0300508071568732,2.2
"54","no2_8_20_night",0.0462254962138832,0.0338238528597221,1.37
"55","no2_8_21_day",0.0629040995306223,0.0239126690938452,2.63
"56","no2_8_21_night",0.0477522638289183,0.031672210709257,1.51
"57","no2_8_22_day",0.0603333092903402,0.0300497779825354,2.01
"58","no2_8_22_night",0.0476159319680622,0.0338244528327339,1.41
"59","no2_8_23_day",0.042214670798454,0.0254482774529821,1.66
"60","no2_8_23_night",0.0353901515151515,0.0262931217252099,1.35
"61","no2_8_24_day",0.0544515741373564,0.0256607620670604,2.12
"62","no2_8_24_night",0.0415795454545455,0.0291118507544421,1.43
"63","no2_8_25_day",0.0416628787878788,0.0176307643529686,2.36
"64","no2_8_25_night",0.0451060606060606,0.0320771035146794,1.41
"65","no2_8_26_day",0.0562583909228393,0.0265798521578809,2.12
"66","no2_8_26_night",0.0478674242424242,0.0344855169796936,1.39
"67","no2_8_27_day",0.0559420274826723,0.0255110683153829,2.19
"68","no2_8_27_night",0.042219696969697,0.0286937224253892,1.47
"69","no2_8_28_day",0.0539901323590222,0.0245338203652551,2.2
"70","no2_8_28_night",0.0448257575757576,0.0315677064249425,1.42
"71","no2_8_29_day",0.0423759759683655,0.0245059557111803,1.73
"72","no2_8_29_night",0.0351022727272727,0.02253229011306,1.56
"73","no2_8_30_day",0.0466491595510739,0.021338405728032,2.19
"74","no2_8_30_night",0.0320643939393939,0.0207833231081784,1.54
"75","no2_8_31_day",0.041852800335615,0.0199867310905241,2.09
"76","no2_8_31_night",0.0353143939393939,0.0258398567833529,1.37
"77","no2_9_1_day",0.033780303030303,0.0158967397267124,2.12
"78","no2_9_1_night",0.0326470005527087,0.0234299910229804,1.39
"79","no2_9_2_day",0.0467615571720936,0.0226538406409323,2.06
"80","no2_9_2_night",0.0378356509542178,0.0255799114553524,1.48
"81","no2_9_3_day",0.042500249416702,0.0189997012892908,2.24
"82","no2_9_3_night",0.0386696612732878,0.0269493589308307,1.43
"83","no2_9_4_day",0.043962042449969,0.0195625492040195,2.25
"84","no2_9_4_night",0.0374287123776988,0.0247493009770334,1.51
